时间段,语言,类型,出版社,字数,评级
/,中文,学术专著/译著,浙江摄影出版社,15万,B
/,中文,学术专著/译著,作家出版社,15万,B
/,中文,学术专著/译著,其他,15万,C
/,中文,其他,/,15万,D
/,外文,学术专著/译著,耶鲁大学出版社,15万,B
/,外文,学术专著/译著,康奈尔大学出版社,15万,B
/,外文,学术专著/译著,芝加哥大学出版社,15万,B
/,外文,学术专著/译著,杜克大学出版社,15万,B
/,外文,学术专著/译著,俄亥俄州立大学出版社,15万,B
/,外文,学术专著/译著,约翰 ·霍普金斯大学出版社,15万,B
/,外文,学术专著/译著,宾州州立大学出版社,15万,B
/,外文,学术专著/译著,夏威夷大学出版社,15万,B
/,外文,学术专著/译著,哈佛大学出版社,15万,B
/,外文,学术专著/译著,泰勒•弗朗西斯集团,15万,B
/,外文,学术专著/译著,帕尔格雷夫.麦克米伦,15万,B
/,外文,学术专著/译著,世哲出版社,15万,B
/,外文,学术专著/译著,约翰威利出版公司,15万,B
/,外文,学术专著/译著,麦格劳-希尔出版公司,15万,B
/,外文,学术专著/译著,圣智学习出版公司,15万,B
/,外文,学术专著/译著,加州大学出版社,15万,B
/,外文,学术专著/译著,哥伦比亚大学出版社,15万,B
/,外文,学术专著/译著,普林斯顿大学出版社,15万,B
/,外文,学术专著/译著,纽约州立大学出版社,15万,B
/,外文,学术专著/译著,华盛顿大学出版社,15万,B
/,外文,学术专著/译著,企鹅兰登书屋,15万,B
/,外文,学术专著/译著,培生教育出版集团,15万,B
/,外文,学术专著/译著,牛津大学出版社,15万,B
/,外文,学术专著/译著,剑桥大学出版社,15万,B
/,外文,学术专著/译著,爱思唯尔出版集团,15万,B
/,外文,学术专著/译著,阿姆斯特丹大学出版社,15万,B
/,外文,学术专著/译著,费舍尔出版社,15万,B
/,外文,学术专著/译著,贝克出版社,15万,B
/,外文,学术专著/译著,德古意特出版社,15万,B
/,外文,学术专著/译著,海德堡大学出版社,15万,B
/,外文,学术专著/译著,博睿学术出版集团,15万,B
/,外文,学术专著/译著,威科集团,15万,B
/,外文,学术专著/译著,加利玛出版社,15万,B
/,外文,学术专著/译著,色伊出版社,15万,B
/,外文,学术专著/译著,法国国家开放文献中心成员出版社,15万,B
/,外文,学术专著/译著,远东学院出版社,15万,B
/,外文,学术专著/译著,巴黎政治学院出版社,15万,B
/,外文,学术专著/译著,法国大学出版社,15万,B
/,外文,学术专著/译著,阿尔玛丹出版社,15万,B
/,外文,学术专著/译著,世界科技出版公司,15万,B
/,外文,学术专著/译著,意大利科学出版社,15万,B
/,外文,学术专著/译著,圣彼得堡国立大学出版社,15万,B
/,外文,学术专著/译著,俄罗斯科学院科学出版社,15万,B
/,外文,学术专著/译著,俄罗斯涅斯托尔历史出版社,15万,B
/,外文,学术专著/译著,莫斯科大学出版社,15万,B
/,外文,学术专著/译著,俄罗斯东方文学出版社,15万,B
/,外文,学术专著/译著,东京大学出版会,15万,B
/,外文,学术专著/译著,岩波书店,15万,B
/,外文,学术专著/译著,京都大学学术出版社,15万,B
/,外文,学术专著/译著,日本电报电话公司出版社,15万,B
/,外文,学术专著/译著,首尔大学出版文化院,15万,B
/,外文,学术专著/译著,牛津大学出版社印度有限公司,15万,B
/,外文,学术专著/译著,印度文化关系委员会出版社,15万,B
/,外文,学术专著/译著,墨西哥学院出版社,15万,B
/,外文,学术专著/译著,普拉内塔出版集团,15万,B
/,外文,学术专著/译著,越南国家政治出版社,15万,B
/,外文,学术专著/译著,越南河内国家大学出版社,15万,B
/,外文,学术专著/译著,土耳其实业银行文化出版社,15万,B
/,外文,学术专著/译著,贝鲁特美国大学出版社,15万,B
/,外文,学术专著/译著,开罗美国大学出版社,15万,B
